holding_id,area_id,holding_type,herd_size
H00000,A00,market,13
H00001,A00,farm,34
H00002,A00,farm,38
H00003,A00,farm,9
H00004,A00,farm,12
H00005,A00,farm,24
H00006,A00,farm,19
H00007,A00,farm,22
H00008,A00,farm,15
H00009,A00,farm,37
H00010,A00,farm,35
H00011,A00,farm,23
H00012,A00,farm,42
H00013,A00,farm,29
H00014,A00,farm,14
H00015,A00,farm,28
H00016,A00,farm,14
H00017,A00,farm,37
H00018,A00,farm,22
H00019,A00,farm,20
H00020,A00,farm,16
H00021,A00,farm,44
H00022,A00,farm,21
H00023,A00,farm,18
H00024,A00,farm,19
H00025,A00,farm,30
H00026,A00,farm,28
H00027,A00,farm,28
H00028,A00,farm,29
H00029,A00,farm,75
H00030,A00,farm,18
H00031,A00,farm,17
H00032,A00,farm,15
H00033,A00,farm,32
H00034,A00,farm,42
H00035,A00,farm,21
H00036,A00,farm,15
H00037,A00,farm,15
H00038,A00,farm,32
H00039,A01,farm,88
H00040,A01,farm,78
H00041,A01,farm,39
H00042,A01,farm,65
H00043,A01,farm,61
H00044,A01,farm,65
H00045,A01,farm,95
H00046,A01,farm,65
H00047,A01,farm,85
H00048,A01,farm,59
H00049,A01,farm,67
H00050,A01,farm,82
H00051,A01,farm,25
H00052,A01,farm,48
H00053,A01,farm,44
H00054,A01,farm,40
H00055,A01,farm,49
H00056,A01,farm,136
H00057,A01,farm,35
H00058,A01,farm,100
H00059,A01,farm,22
H00060,A01,farm,47
H00061,A01,farm,63
H00062,A01,farm,80
H00063,A01,farm,86
H00064,A01,farm,90
H00065,A01,farm,47
H00066,A01,farm,44
H00067,A01,farm,94
H00068,A01,farm,51
H00069,A01,farm,28
H00070,A01,farm,30
H00071,A01,farm,34
H00072,A01,farm,76
H00073,A01,farm,62
H00074,A01,farm,85
H00075,A01,farm,45
H00076,A01,farm,63
H00077,A01,farm,82
H00078,A01,farm,48
H00079,A01,farm,74
H00080,A01,farm,39
H00081,A01,farm,46
H00082,A01,farm,46
H00083,A01,farm,29
H00084,A01,farm,76
H00085,A01,farm,44
H00086,A01,farm,58
H00087,A01,farm,75
H00088,A01,farm,74
H00089,A01,farm,84
H00090,A01,farm,54
H00091,A01,farm,45
H00092,A01,farm,55
H00093,A01,farm,22
H00094,A01,farm,25
H00095,A01,farm,27
H00096,A01,farm,33
H00097,A01,farm,72
H00098,A01,farm,34
H00099,A02,market,122
H00100,A02,farm,47
H00101,A02,farm,87
H00102,A02,farm,34
H00103,A02,farm,51
H00104,A02,farm,33
H00105,A02,farm,47
H00106,A02,farm,93
H00107,A02,farm,22
H00108,A02,farm,73
H00109,A02,farm,65
H00110,A02,farm,41
H00111,A02,farm,25
H00112,A02,farm,60
H00113,A02,farm,42
H00114,A02,farm,65
H00115,A02,farm,58
H00116,A02,farm,145
H00117,A02,farm,50
H00118,A02,farm,32
H00119,A02,farm,63
H00120,A02,farm,65
H00121,A02,farm,126
H00122,A02,farm,93
H00123,A02,farm,70
H00124,A02,farm,134
H00125,A02,farm,29
H00126,A02,farm,40
H00127,A02,farm,34
H00128,A02,farm,46
H00129,A02,farm,26
H00130,A02,farm,82
H00131,A02,farm,50
H00132,A02,farm,25
H00133,A02,farm,32
H00134,A02,farm,68
H00135,A02,farm,93
H00136,A02,farm,183
H00137,A02,farm,316
H00138,A02,farm,73
H00139,A02,farm,33
H00140,A02,farm,18
H00141,A02,farm,67
H00142,A02,farm,36
H00143,A03,farm,45
H00144,A03,farm,40
H00145,A03,farm,53
H00146,A03,farm,106
H00147,A03,farm,62
H00148,A03,farm,52
H00149,A03,farm,32
H00150,A03,farm,22
